lon,lat,name,amenity,shop,leisure,dog_type
-0.3582282,51.5608616,Medivet Veterinary Clinic,veterinary,,,🩺 Vet
-0.0074739,51.4953704,Best Friends Veterinary Clinic,veterinary,,,🩺 Vet
-0.1992946,51.3578909,Wingrave Veterinary Surgery,veterinary,,,🩺 Vet
-0.1342965,51.537202,Beaumont Sainsbury Animal Hospital,veterinary,,,🩺 Vet
-0.122378,51.5677049,Dragon Veterinary Clinic,veterinary,,,🩺 Vet
-0.196549,51.371769,The Corner,veterinary,,,🩺 Vet
-0.1018586,51.5395603,Abbey Vet,veterinary,,,🩺 Vet
-0.0740063,51.5610523,Parker's pet food and aquatics,,pet,,🐾 Pet Shop
-0.1257805,51.4395206,Dr. Doolittle's,,pet,,🐾 Pet Shop
-0.3667828,51.4258878,The Sherwood Veterinary Centre,veterinary,,,🩺 Vet
-0.09448,51.5410728,Medivet,veterinary,,,🩺 Vet
-0.094537,51.5410436,Canonbury Pet Store,,pet,,🐾 Pet Shop
-0.1618847,51.5536752,Animal Crackers,,pet,,🐾 Pet Shop
-0.2160844,51.3572388,Scamps,,pet,,🐾 Pet Shop
-0.2526543,51.5607789,,veterinary,,,🩺 Vet
-0.1181753,51.5634335,Atlas Pet Shop,,pet,,🐾 Pet Shop
-0.1966809,51.4962925,Abingdon Veterinary Clinic,veterinary,,,🩺 Vet
-0.203845,51.5611352,Animal Medical Centre,veterinary,,,🩺 Vet
-0.3841772,51.5952925,Pinner Pet & Garden,,pet,,🐾 Pet Shop
-0.2037522,51.6458141,Mays Pet Shop,,pet,,🐾 Pet Shop
-0.0613016,51.5875256,Pets at Home,,pet,,🐾 Pet Shop
-0.3204399,51.4364269,Thames Vet,veterinary,,,🩺 Vet
-0.1179142,51.3676399,Pets at Home,,pet,,🐾 Pet Shop
-0.1523253,51.5908806,Medivet,veterinary,,,🩺 Vet
-0.1660945,51.4578922,Northcote Pet Stores,,pet,,🐾 Pet Shop
0.0220883,51.5925555,Goddard,veterinary,,,🩺 Vet
-0.1850595,51.4299564,Pets at Home,,pet,,🐾 Pet Shop
0.0331603,51.5958623,Woodford Aquatics,,pet,,🐾 Pet Shop
-0.0343252,51.5877592,Pets Clinic,veterinary,,,🩺 Vet
0.0372457,51.3098165,Darwin Veterinary Centre,veterinary,,,🩺 Vet
0.0497632,51.4580671,Park Vets,veterinary,,,🩺 Vet
0.0540153,51.4496615,Passey Place Veterinary Surgery,veterinary,,,🩺 Vet
0.0534126,51.4502696,Pets Pantry,,pet,,🐾 Pet Shop
-0.1627811,51.5199383,London Vet Clinic,veterinary,,,🩺 Vet
-0.1628589,51.5199224,London Vet Clinic,veterinary,,,🩺 Vet
-0.3414975,51.5421929,Pets at Home,,pet,,🐾 Pet Shop
-0.0492861,51.4256965,Whites Pet Care Centre,,pet,,🐾 Pet Shop
-0.1472273,51.5775482,Medivet,veterinary,,,🩺 Vet
-0.2877842,51.4144977,Goddards,veterinary,,,🩺 Vet
-0.1622246,51.4562019,Westside Veterinary Clinic Ltd,veterinary,,,🩺 Vet
-0.1617211,51.4732358,Barking Betty,,pet,,🐾 Pet Shop
-0.150054,51.4663916,Voo,veterinary,pet,,🩺 Vet
-0.2389303,51.3941597,Pet Grooming Parlour,,pet,,🐾 Pet Shop
-0.1902828,51.4588345,Eco Vets,veterinary,,,🩺 Vet
0.1046215,51.356074,All Creatures Clinic,veterinary,,,🩺 Vet
-0.1904572,51.4684801,Pets Unleashed,,pet,,🐾 Pet Shop
-0.1033114,51.5356007,Snoots,veterinary,,,🩺 Vet
