date,city,country,venue
16/07/2025,Paradise,United States,T-Mobile Arena
18/07/2025,Paradise,United States,T-Mobile Arena
19/07/2025,Paradise,United States,T-Mobile Arena
22/07/2025,San Francisco,United States,Chase Center
24/07/2025,San Francisco,United States,Chase Center
26/07/2025,San Francisco,United States,Chase Center
28/07/2025,Inglewood,United States,Kia Forum
29/07/2025,Inglewood,United States,Kia Forum
01/08/2025,Inglewood,United States,Kia Forum
02/08/2025,Inglewood,United States,Kia Forum
06/08/2025,Seattle,United States,Climate Pledge Arena
07/08/2025,Seattle,United States,Climate Pledge Arena
09/08/2025,Seattle,United States,Climate Pledge Arena
22/08/2025,New York City,United States,Madison Square Garden
23/08/2025,New York City,United States,Madison Square Garden
26/08/2025,New York City,United States,Madison Square Garden
27/08/2025,New York City,United States,Madison Square Garden
31/08/2025,Miami,United States,Kaseya Center
01/09/2025,Miami,United States,Kaseya Center
06/09/2025,New York City,United States,Madison Square Garden
07/09/2025,New York City,United States,Madison Square Garden
10/09/2025,Toronto,Canada,Scotiabank Arena
11/09/2025,Toronto,Canada,Scotiabank Arena
13/09/2025,Toronto,Canada,Scotiabank Arena
15/09/2025,Chicago,United States,United Center
17/09/2025,Chicago,United States,United Center
18/09/2025,Chicago,United States,United Center
29/09/2025,London,England,The O2Arena
30/09/2025,London,England,The O2Arena
02/10/2025,London,England,The O2Arena
04/10/2025,London,England,The O2Arena
07/10/2025,Manchester,England,Co-op Live
08/10/2025,Manchester,England,Co-op Live
12/10/2025,Stockholm,Sweden,Avicii Arena
13/10/2025,Stockholm,Sweden,Avicii Arena
15/10/2025,Stockholm,Sweden,Avicii Arena
19/10/2025,Assago,Italy,Unipol Forum
20/10/2025,Assago,Italy,Unipol Forum
28/10/2025,Barcelona,Spain,Palau Sant Jordi
29/10/2025,Barcelona,Spain,Palau Sant Jordi
31/10/2025,Barcelona,Spain,Palau Sant Jordi
04/11/2025,Berlin,Germany,Uber Arena
05/11/2025,Berlin,Germany,Uber Arena
09/11/2025,Amsterdam,Netherlands,Ziggo Dome
11/11/2025,Antwerp,Belgium,AFAS Dome
13/11/2025,Décines-Charpieu,France,LDLC Arena
14/11/2025,Décines-Charpieu,France,LDLC Arena
17/11/2025,Paris,France,Accor Arena
18/11/2025,Paris,France,Accor Arena
20/11/2025,Paris,France,Accor Arena
22/11/2025,Paris,France,Accor Arena
05/12/2025,Melbourne,Australia,Marvel Stadium
06/12/2025,Melbourne,Australia,Marvel Stadium
09/12/2025,Brisbane,Australia,Suncorp Stadium
12/12/2025,Sydney,Australia,Accor Stadium
13/12/2025,Sydney,Australia,Accor Stadium
21/01/2026,Osaka,Japan,Kyocera Dome
22/01/2026,Osaka,Japan,Kyocera Dome
25/01/2026,Tokyo,Japan,Tokyo Dome
26/01/2026,Tokyo,Japan,Tokyo Dome
29/01/2026,Tokyo,Japan,Tokyo Dome
30/01/2026,Tokyo,Japan,Tokyo Dome
14/02/2026,Glendale,United States,Desert Diamond Arena
15/02/2026,Glendale,United States,Desert Diamond Arena
18/02/2026,Inglewood,United States,Kia Forum
19/02/2026,Inglewood,United States,Kia Forum
22/02/2026,Inglewood,United States,Kia Forum
23/02/2026,Inglewood,United States,Kia Forum
28/02/2026,Fort Worth,United States,Dickies Arena
01/03/2026,Fort Worth,United States,Dickies Arena
04/03/2026,Atlanta,United States,State Farm Arena
05/03/2026,Atlanta,United States,State Farm Arena
08/03/2026,Austin,United States,Moody Center
09/03/2026,Austin,United States,Moody Center
13/03/2026,Miami,United States,Kaseya Center
19/03/2026,New York City,United States,Madison Square Garden
20/03/2026,New York City,United States,Madison Square Garden
23/03/2026,"Washington, D.C.",United States,Capital One Arena
24/03/2026,"Washington, D.C.",United States,Capital One Arena
29/03/2026,Boston,United States,TD Garden
30/03/2026,Boston,United States,TD Garden
02/04/2026,Montreal,Canada,Centre Bell
03/04/2026,Montreal,Canada,Centre Bell
06/04/2026,Montreal,Canada,Centre Bell
09/04/2026,Saint Paul,United States,Grand Casino Arena
10/04/2026,Saint Paul,United States,Grand Casino Arena
13/04/2026,New York City,United States,Madison Square Garden
