Country,Iso3,Pop_2025,Pop_2100,Change_Abs,Change_Pct
Afghanistan,AFG,43844111.5,130216738.5,86372627.0,196.9993781262964
Africa,AFR,1549867579.0,3813883603.0,2264016024.0,146.07802980566765
Albania,ALB,2771507.5,1184997.5,-1586510.0,-57.2435759239331
Algeria,DZA,47435311.5,64487527.5,17052216.0,35.9483588507688
American Samoa,ASM,46028.5,32293.5,-13735.0,-29.840207697404868
Americas,AMR,1055416955.0,1088413252.0,32996297.0,3.1263754901492935
Andorra,AND,82904.5,47222.5,-35682.0,-43.03988323914866
Angola,AGO,39040038.5,150045574.5,111005536.0,284.33767041495105
Anguilla,AIA,14728.0,9309.0,-5419.0,-36.79386203150462
Antigua and Barbuda,ATG,94208.5,67975.0,-26233.5,-27.84621345207704
Argentina,ARG,45851377.5,38255989.5,-7595388.0,-16.565234054309492
Armenia,ARM,2952364.5,1692198.0,-1260166.5,-42.68329672708096
Aruba,ABW,108147.5,75169.5,-32978.0,-30.493538916757206
Asia,ASI,4835320060.0,4612667564.5,-222652495.5,-4.604710603169463
Australia,AUS,26974026.0,43143684.5,16169658.5,59.945291444443626
Austria,AUT,9113574.0,7399328.5,-1714245.5,-18.809805022705692
Azerbaijan,AZE,10397713.0,10021320.5,-376392.5,-3.6199546958066646
Bahamas,BHS,403032.5,384955.0,-18077.5,-4.485370286515355
Bahrain,BHR,1643331.5,3090322.5,1446991.0,88.05228890214785
Bangladesh,BGD,175686899.5,208596515.5,32909616.0,18.731969255339955
Barbados,BRB,282623.5,194698.0,-87925.5,-31.110470289979425
Belarus,BLR,8997603.0,4350961.5,-4646641.5,-51.6431042801066
Belgium,BEL,11758603.0,11060848.0,-697755.0,-5.933995730615278
Belize,BLZ,422924.0,447373.5,24449.5,5.781062318525314
Benin,BEN,14814459.5,39587568.0,24773108.5,167.22249299746642
Bermuda,BMU,64554.50000000001,35667.5,-28887.000000000007,-44.748235986646954
Bhutan,BTN,796681.5,690432.0,-106249.5,-13.336509006422265
Bolivia (Plurinational State of),BOL,12581842.5,17760564.0,5178721.5,41.1602791880442
"Bonaire, Sint Eustatius and Saba",BES,31338.5,27860.0,-3478.5,-11.09976546420537
Bosnia and Herzegovina,BIH,3140095.5,1366461.5,-1773634.0,-56.48344134756411
Botswana,BWA,2562122.0,3836824.5,1274702.5,49.75182680606154
Brazil,BRA,212812405.0,163364064.0,-49448341.0,-23.235647846750286
British Virgin Islands,VGB,39732.0,27890.0,-11842.0,-29.804691432598407
Brunei Darussalam,BRN,466330.5,464806.0,-1524.5,-0.32691406631133924
Bulgaria,BGR,6714559.5,3531197.5,-3183362.0,-47.40984125615388
Burkina Faso,BFA,24074580.0,49854228.5,25779648.5,107.08244339049737
Burundi,BDI,14390002.5,37873961.5,23483959.0,163.19635107777083
Cabo Verde,CPV,527325.5,416940.5,-110385.0,-20.932991103218033
Cambodia,KHM,17847981.5,22738858.0,4890876.5,27.402967108633547
Cameroon,CMR,29879337.0,88875687.5,58996350.5,197.44865992173789
Canada,CAN,40126723.0,53612234.5,13485511.5,33.60730827683088
Caribbean,CAR,44622478.5,37345243.5,-7277235.0,-16.3084509077639
