city_us,state_us,us_lat,us_lon,origin_city,origin_country,origin_lat,origin_lon
Paris,TX,33.66094,-95.55551,Paris,France,48.85667,2.35222
Berlin,WI,43.96800,-88.94300,Berlin,Germany,52.52000,13.40500
Athens,GA,33.95194,-83.35757,Athens,Greece,37.98381,23.72754
Dublin,CA,37.70577,-121.91560,Dublin,Ireland,53.34980,-6.26030
Versailles,KY,38.05258,-84.72995,Versailles,France,48.80141,2.13012
Venice,FL,27.09978,-82.45426,Venice,Italy,45.44085,12.31552
Budapest,GA,33.64038,-84.01519,Budapest,Hungary,47.49791,19.04023
Copenhagen,NY,43.89201,-75.67351,Copenhagen,Denmark,55.67610,12.56834
Florence,AL,34.79981,-87.67725,Florence,Italy,43.76956,11.25558
Edinburg,TX,26.30174,-98.16334,Edinburgh,Scotland,55.95325,-3.18827
Amsterdam,PA,40.96035,-80.32367,Amsterdam,Netherlands,52.36757,4.90414
Birmingham,AL,33.51859,-86.81036,Birmingham,England,52.48624,-1.89040
Warsaw,IL,40.35670,-91.43403,Warsaw,Poland,52.22977,21.01178
Zurich,KS,39.23389,-99.44400,Zurich,Switzerland,47.37689,8.54169
Glasgow,VA,37.63597,-79.45865,Glasgow,Scotland,55.86091,-4.25143
Rome,GA,34.25704,-85.16467,Rome,Italy,41.90278,12.49636
Lisbon,ME,44.03175,-70.10478,Lisbon,Portugal,38.72225,-9.13934
London,OH,39.88645,-83.44854,London,England,51.50722,-0.12750
Cambridge,MA,42.37362,-71.10973,Cambridge,England,52.20534,0.12182
Oxford,MS,34.36650,-89.51925,Oxford,England,51.75202,-1.25772
Naples,FL,26.14204,-81.79481,Naples,Italy,40.85177,14.26812
Malta,OH,39.64952,-81.86180,Malta,Malta,35.89891,14.51455
Milan,MI,42.08448,-83.68299,Milan,Italy,45.46420,9.18998
Nice,CA,39.12518,-122.84250,Nice,France,43.71017,7.26195
Salem,OR,44.94290,-123.03510,Salem,England,51.50722,-0.12750
Geneva,IL,41.88753,-88.30535,Geneva,Switzerland,46.20439,6.14316
Florence,SC,34.19543,-79.76256,Florence,Italy,43.76956,11.25558
Berlin,MD,38.32262,-75.21741,Berlin,Germany,52.52000,13.40500
Venice,CA,33.98500,-118.46950,Venice,Italy,45.44085,12.31552
Athens,TX,32.20487,-95.85552,Athens,Greece,37.98381,23.72754
Dublin,OH,40.09923,-83.11408,Dublin,Ireland,53.34980,-6.26030
Paris,ID,42.22743,-111.40133,Paris,France,48.85667,2.35222
Lisbon,ND,46.44195,-97.70482,Lisbon,Portugal,38.72225,-9.13934
Berlin,NH,44.46870,-71.18334,Berlin,Germany,52.52000,13.40500
Florence,KY,38.99895,-84.62661,Florence,Italy,43.76956,11.25558
Moscow,ID,46.73239,-117.00017,Moscow,Russia,55.75583,37.61730
Vienna,VA,38.90122,-77.26526,Vienna,Austria,48.20817,16.37382
Carthage,TX,32.15765,-94.33799,Carthage,Tunisia,36.85292,10.32389
Troy,NY,42.72841,-73.69179,Troy,Turkey (ancient),39.95710,26.23840
